rd_present,rd_distance_mm,rd_velocity_cm_s,rd_angle_deg,rd_x_mm,rd_y_mm,c4001_present,c4001_distance_m,c4001_velocity_m_s,c4001_energy,c4001_raw_targets,c4001_raw_distance_m,c4001_raw_velocity_m_s,c4001_raw_energy
1,1065.58,0,-5.91,-119,1015,1,0.72,-0.61,19125,1,0.82,-0.59,19823
1,1007.11,-17,-5.39,-116,1157,1,0.87,-0.58,20247,1,0.91,-0.59,18085
1,938.89,-16,-5.97,-90,954,1,0.89,-0.58,15812,1,0.93,-0.61,19758
1,934.75,-14,-5.22,-102,932,1,0.64,-0.17,19792,1,0.72,-0.18,16406
1,1033.93,-14,-5.56,-110,872,1,0.71,-0.18,18941,1,0.77,-0.17,16830
1,908.72,-14,-4.97,-106,983,1,0.8,-0.2,30870,1,0.65,-0.19,38717
1,966.3,-17,-5.29,-95,946,1,0.67,-0.15,35780,1,0.76,-0.17,38638
1,852.23,-13,-6.14,-93,1027,1,0.78,-0.16,31607,1,0.67,-0.19,38607
1,1060.24,-8,-6.08,-88,966,1,0.76,-0.16,36455,1,0.73,-0.17,38838
1,907.11,-6,-6.45,-93,838,1,0.75,-0.12,10519,1,0.68,-0.11,8795
1,994.49,0,-5.87,-111,964,1,0.62,-0.12,8497,1,0.81,-0.11,10432
1,914.59,0,-5.8,-90,1008,1,0.74,-0.08,46766,1,0.63,-0.09,50408
1,926.24,-7,-6.27,-78,974,1,0.71,-0.07,45986,1,0.77,-0.09,61077
1,920.52,-7,-5.68,-91,882,1,0.63,-0.05,49850,1,0.66,-0.06,51102
1,997.95,-8,-6.84,-90,795,1,0.67,-0.06,50631,1,0.82,-0.05,43844
1,778.46,0,-9.29,-153,844,1,0.76,-0.04,28293,1,0.65,-0.04,26515
1,726.83,0,-10.36,-155,933,1,0.81,-0.04,31723,1,0.72,-0.04,29868
1,745.63,0,-15.1,-160,762,1,0.83,-0.03,19216,1,0.67,-0.03,17733
1,829.75,0,-13.48,-202,868,1,0.8,-0.03,19757,1,0.81,-0.03,17493
1,779.04,0,-20.0,-249,751,1,0.8,-0.02,19257,1,0.79,-0.02,20382
1,857.01,0,-20.94,-222,763,1,0.65,-0.02,22104,1,0.71,-0.02,21710
1,681.51,0,-22.5,-267,606,1,0.72,-0.01,41722,1,0.71,-0.01,36693
1,814.47,0,-18.33,-229,737,1,0.71,-0.01,32097,1,0.8,-0.01,33480
1,796.77,0,-19.01,-299,668,1,0.68,-0.01,46137,1,0.64,-0.01,54295
1,721.45,0,-20.12,-266,669,1,0.77,-0.01,53631,1,0.69,-0.01,44793
1,773.43,0,-22.77,-296,579,1,0.73,-0.01,10036,1,0.73,-0.01,9350
1,742.35,0,-24.7,-339,604,1,0.8,-0.01,10083,1,0.66,-0.01,9475
1,1114.99,0,-8.02,-143,1189,1,1.39,-0.01,7396,1,1.24,-0.01,7153
1,1020.44,0,-6.09,-135,1047,1,1.44,-0.01,7426,1,1.3,-0.01,8660
1,1195.13,0,-6.96,-117,1088,1,1.51,-0.01,2664,1,1.17,-0.01,3048
1,1127.04,0,-4.97,-117,1128,1,1.41,-0.01,3116,1,1.29,-0.01,2528
1,1087.06,0,-5.3,-112,997,1,1.18,-0.01,2610,1,1.49,-0.01,3361
1,1185.26,0,-5.7,-94,1079,1,1.5,-0.01,2974,1,1.44,-0.01,3019
1,1284.57,0,-5.92,-117,1272,1,1.22,-0.01,4208,1,1.2,-0.01,5207
1,968.37,0,-5.41,-101,1259,1,1.3,-0.01,4298,1,1.21,-0.01,5144
1,1106.22,0,-5.67,-98,1255,1,1.37,-0.03,1910,1,1.33,-0.03,1705
1,1024.1,0,-4.65,-98,1213,1,1.18,-0.03,1501,1,1.17,-0.03,1887
1,1033.99,0,-5.25,-104,1087,1,1.28,-0.07,3282,1,1.49,-0.07,3719
1,1223.97,0,-4.98,-91,1157,1,1.35,-0.05,4033,1,1.27,-0.07,3795
1,1098.47,-17,-5.26,-79,1156,1,1.3,-0.1,20699,1,1.11,-0.1,19084
1,977.22,0,-5.46,-84,1225,1,1.09,-0.08,20298,1,1.42,-0.08,19255
1,1293.71,0,-4.48,-97,1011,1,1.13,-0.09,18976,1,1.23,-0.09,21694
1,1034.98,-21,-4.67,-95,960,1,1.09,-0.08,22202,1,1.39,-0.1,21504
1,1260.14,-23,-5.16,-80,970,1,1.19,-0.11,53366,1,1.27,-0.13,43790
1,1069.09,-38,-4.75,-88,1089,1,1.09,-0.11,49281,1,1.13,-0.11,48425
1,1115.59,-37,-3.97,-100,1233,1,1.3,-0.13,41471,1,1.34,-0.12,45327
1,1120.83,-49,-5.19,-83,1249,1,1.25,-0.11,52702,1,1.1,-0.11,41869
1,1174.98,-67,-5.27,-102,983,1,1.11,-0.28,27228,1,1.32,-0.27,26151
1,1034.11,-54,-4.17,-89,1063,1,1.19,-0.22,25752,1,1.02,-0.25,25398
1,1082.43,-76,-4.39,-89,1245,1,1.16,-0.24,31888,1,1.0,-0.28,31075
1,1122.46,-69,-4.26,-87,1103,1,1.12,-0.25,32558,1,1.06,-0.22,27472
1,1232.08,-74,-4.45,-75,1203,1,1.12,-0.23,31074,1,1.29,-0.25,25752
1,1117.07,-72,-4.89,-96,1171,1,1.08,-0.28,25391,1,0.96,-0.23,29472
1,1223.03,-55,-5.05,-75,963,1,1.14,-0.25,28938,1,1.01,-0.27,29235
1,1172.98,-49,-4.7,-89,1138,1,1.27,-0.28,32431,1,1.11,-0.22,28518
1,1031.78,-42,-4.37,-85,1148,1,1.08,-0.28,29133,1,1.02,-0.25,27407
1,999.45,-24,-4.25,-77,961,1,1.16,-0.26,30576,1,1.0,-0.27,31133
1,1027.54,-22,-3.99,-83,968,1,1.12,-0.23,26986,1,1.28,-0.23,32390
1,984.76,-18,-4.85,-94,1136,1,1.25,-0.28,28450,1,1.3,-0.26,24689
1,1214.68,-17,-4.71,-93,1141,1,1.26,-0.26,27827,1,1.19,-0.27,27361
1,994.8,-8,-4.37,-94,1144,1,1.18,-0.27,26481,1,1.12,-0.23,32297
1,1034.0,-9,-4.14,-87,1110,1,1.25,-0.27,29003,1,1.01,-0.27,25882
1,1075.61,-7,-4.76,-82,1019,1,0.71,-0.13,9252,1,0.8,-0.13,9019
1,1149.11,-7,-3.93,-72,1053,1,0.78,-0.16,7814,1,0.84,-0.15,7946
1,1102.67,-7,-4.75,-83,1131,1,0.69,-0.06,39980,1,0.85,-0.06,38048
1,925.75,-7,-4.68,-69,973,1,0.84,-0.07,42285,1,0.73,-0.06,38484
1,962.77,-16,-4.42,-69,945,1,0.85,-0.11,1134,1,0.84,-0.09,902
1,1049.34,-17,-4.14,-75,1018,1,0.65,-0.09,1165,1,0.66,-0.11,1021
1,981.75,-18,-4.49,-66,958,1,0.75,-0.1,971,1,0.73,-0.11,1104
1,1047.96,-7,-3.52,-74,868,1,0.66,-0.11,1130,1,0.7,-0.09,1019
1,1093.11,-8,-4.54,-68,1066,1,0.66,-0.07,56686,1,0.83,-0.07,57105
1,970.76,-9,-4.25,-71,1023,1,0.68,-0.07,44369,1,0.69,-0.08,47691
1,873.81,-7,-3.46,-76,1063,1,0.66,-0.08,29354,1,0.77,-0.09,28356
1,1000.86,-9,-3.34,-59,1093,1,0.76,-0.1,33766,1,0.64,-0.1,29518
1,919.31,-9,-4.48,-75,1005,1,0.69,-0.07,62772,1,0.69,-0.06,48164
1,821.88,-7,-3.98,-72,1032,1,0.78,-0.07,55970,1,0.74,-0.07,47921
1,815.86,-7,-3.76,-69,991,1,0.73,-0.05,37644,1,0.84,-0.04,34446
1,1015.96,-7,-3.25,-57,1067,1,0.67,-0.06,32094,1,0.66,-0.05,41090
1,913.41,-8,-4.2,-65,989,1,0.69,-0.08,20161,1,0.72,-0.07,23737
1,904.81,-7,-3.82,-72,903,1,0.7,-0.06,22280,1,0.66,-0.06,18450
1,988.68,0,-4.12,-58,937,1,0.62,-0.06,19543,1,0.66,-0.06,19961
1,831.74,0,-4.03,-54,933,1,0.73,-0.08,20559,1,0.79,-0.08,22466
1,996.7,-8,-3.61,-51,993,1,0.82,-0.04,31978,1,0.72,-0.04,41056
1,915.36,-8,-3.72,-60,1031,1,0.66,-0.05,33462,1,0.67,-0.04,33989
1,1004.28,0,-2.79,-47,866,1,0.72,-0.04,66826,1,0.84,-0.03,52664
1,841.81,0,-0.09,-1,755,1,0.71,-0.03,52575,1,0.8,-0.04,67071
1,860.01,0,-0.09,-1,883,1,0.79,-0.03,2986,1,0.77,-0.03,2902
1,841.88,0,0.46,5,911,1,0.82,-0.03,3100,1,0.75,-0.03,2679
1,739.0,0,0.42,6,940,1,0.76,-0.02,50461,1,0.65,-0.02,49093
1,765.5,0,0.09,2,820,1,0.63,-0.02,54798,1,0.67,-0.02,54341
1,743.68,0,0.1,1,968,1,0.72,-0.01,46708,1,0.75,-0.01,38618
1,862.45,0,-0.33,-3,940,1,0.86,-0.01,43591,1,0.65,-0.01,39806
1,905.06,0,-1.35,-20,840,1,0.67,-0.01,30219,1,0.68,-0.01,30076
1,874.16,0,-1.17,-18,781,1,0.66,-0.01,32191,1,0.74,-0.01,27004
1,916.31,0,-2.18,-35,874,1,0.76,-0.01,69193,1,0.72,-0.01,61212
1,823.13,0,-2.26,-34,831,1,0.75,-0.01,65879,1,0.8,-0.01,54315
1,957.44,-14,-2.82,-57,1106,1,1.22,-0.09,65515,1,1.44,-0.09,61702
1,999.22,-54,-3.05,-58,977,1,1.14,-0.07,59245,1,1.12,-0.07,70086
1,990.03,-69,-3.13,-57,1150,1,1.37,-0.15,40327,1,1.32,-0.16,33417
1,1232.11,-73,-3.3,-66,1204,1,1.32,-0.15,34811,1,1.12,-0.15,32929
1,1118.1,-70,-3.23,-53,1001,1,1.18,-0.15,31500,1,1.16,-0.12,36277
1,1113.5,-59,-3.1,-52,1134,1,1.36,-0.14,31016,1,1.28,-0.15,32746
1,975.35,-83,-2.57,-62,920,1,1.13,-0.12,38216,1,1.07,-0.16,37420
1,1111.46,-78,-2.56,-58,911,1,1.32,-0.13,40987,1,1.28,-0.13,36311
1,1082.21,-80,-2.87,-49,1057,1,1.27,-0.14,40142,1,1.08,-0.12,32034
1,1029.2,-69,-2.85,-53,1004,1,1.24,-0.13,38157,1,1.14,-0.15,35716
1,983.14,-65,-3.01,-53,928,1,1.34,-0.13,34699,1,1.4,-0.15,39845
1,1128.78,-43,-2.31,-52,908,1,1.22,-0.13,38508,1,1.26,-0.12,39748
1,876.4,-50,-2.7,-50,1122,1,1.38,-0.13,37446,1,1.21,-0.15,33344
1,1040.11,-30,-2.79,-49,1034,1,1.27,-0.15,36273,1,1.39,-0.13,35779
1,892.68,-29,-2.79,-38,941,1,1.39,-0.13,41685,1,1.22,-0.14,35178
1,1119.76,-15,-2.68,-51,1087,1,1.08,-0.14,32133,1,1.34,-0.16,31048
1,1066.62,-22,-3.08,-55,1013,1,1.38,-0.14,41024,1,1.25,-0.15,32316
1,838.37,-13,-3.31,-60,996,1,0.76,-0.2,45351,1,0.77,-0.23,46478
1,951.14,-13,-3.62,-59,1006,1,0.86,-0.2,46074,1,0.83,-0.25,57051
1,1102.4,-17,-2.81,-60,1029,1,0.69,-0.21,24563,1,0.76,-0.22,25705
1,1038.59,-17,-3.43,-46,1053,1,0.74,-0.21,29659,1,0.78,-0.2,25836
1,1033.52,-16,-2.73,-55,1044,1,0.75,-0.23,3345,1,0.78,-0.21,3350
1,1044.71,-16,-3.38,-47,802,1,0.71,-0.23,3022,1,0.7,-0.23,3109
1,826.64,-13,-2.86,-57,844,1,0.64,-0.14,40897,1,0.63,-0.13,42170
1,821.02,-7,-2.62,-45,872,1,0.72,-0.13,43888,1,0.63,-0.15,37111
1,861.11,-7,-2.99,-50,1069,1,0.68,-0.11,134,1,0.79,-0.1,116
1,846.54,-7,-2.1,-31,866,1,0.7,-0.12,122,1,0.71,-0.11,119
1,985.21,-8,-0.19,-3,821,1,0.75,-0.1,34915,1,0.8,-0.1,28854
1,965.07,-7,-0.17,-2,809,1,0.77,-0.12,33134,1,0.64,-0.12,32903
1,881.58,0,-0.11,-1,851,1,0.72,-0.08,28078,1,0.73,-0.08,36085
1,782.2,0,-0.11,-2,821,1,0.8,-0.09,36293,1,0.79,-0.08,31967
1,978.45,0,-0.57,-6,896,1,0.65,-0.06,20392,1,0.83,-0.06,19547
1,807.74,0,-0.53,-6,871,1,0.68,-0.06,17601,1,0.64,-0.06,17959
1,845.66,0,-0.64,-7,805,1,0.63,-0.06,36326,1,0.77,-0.05,35969
1,752.04,0,-0.67,-8,938,1,0.79,-0.05,33816,1,0.7,-0.06,34313
1,879.69,0,-0.53,-7,887,1,0.72,-0.03,18683,1,0.67,-0.03,19724
1,886.2,0,0.3,4,713,1,0.72,-0.03,17135,1,0.7,-0.03,17578
1,776.36,0,0.32,3,856,1,0.66,-0.02,65993,1,0.73,-0.02,69372
1,813.7,0,1.56,24,802,1,0.77,-0.02,59440,1,0.66,-0.02,56326
1,713.94,0,1.32,19,876,1,0.66,-0.02,43502,1,0.77,-0.02,41693
1,866.19,0,5.6,74,718,1,0.77,-0.02,45629,1,0.74,-0.02,41260
1,684.96,0,5.34,73,813,1,0.81,-0.01,6119,1,0.75,-0.01,5164
1,825.66,0,5.88,90,779,1,0.76,-0.01,5894,1,0.71,-0.01,6087
1,700.01,0,5.38,73,781,1,0.65,-0.01,44022,1,0.77,-0.01,45158
1,868.7,0,5.22,74,830,1,0.75,-0.01,48208,1,0.82,-0.01,44419
1,863.65,-80,-2.5,-43,940,1,0.94,-0.69,28448,1,0.98,-0.71,30432
1,943.46,-68,-2.9,-51,1010,1,0.9,-0.74,26177,1,1.13,-0.8,26534
1,872.79,-84,-2.21,-44,1065,1,0.82,-0.8,25308,1,1.01,-0.61,31231
1,1066.83,-75,-2.83,-40,1075,1,0.99,-0.68,24381,1,1.01,-0.66,25868
1,1023.86,-62,-0.99,-15,892,1,0.93,-0.63,29105,1,1.01,-0.82,30841
1,812.91,-82,-0.97,-15,776,1,0.89,-0.69,30158,1,0.95,-0.75,24622
1,808.31,-39,-0.32,-5,981,1,0.81,-0.76,26724,1,0.92,-0.68,27241
1,820.54,-41,-0.27,-4,842,1,0.86,-0.71,24281,1,0.85,-0.67,28193
1,766.03,-24,-2.43,-33,751,1,0.83,-0.76,29920,1,0.82,-0.77,26088
1,919.4,-21,-3.71,-58,790,1,0.89,-0.62,26345,1,1.05,-0.75,31360
1,757.35,-24,-3.81,-63,793,1,1.0,-0.68,28138,1,0.92,-0.72,30543
1,905.72,-8,-3.86,-66,688,1,0.94,-0.8,28586,1,0.83,-0.62,24650
1,704.28,-6,-4.14,-61,836,1,0.9,-0.63,27448,1,0.8,-0.65,30088
1,777.25,-15,-3.86,-49,706,1,0.84,-0.68,31175,1,0.86,-0.74,28394
1,900.11,-15,-3.62,-53,696,1,0.98,-0.65,26547,1,0.91,-0.78,27068
1,873.4,-18,-3.52,-51,765,1,0.84,-0.23,34192,1,0.85,-0.19,42460
1,886.43,-16,-3.44,-46,790,1,0.75,-0.2,38966,1,0.63,-0.21,43484
1,691.45,-16,-4.12,-54,870,1,0.75,-0.17,40683,1,0.64,-0.15,31146
1,837.19,-15,-4.26,-54,864,1,0.82,-0.16,32564,1,0.77,-0.17,33046
1,745.59,-7,-5.29,-65,760,1,0.63,-0.16,5487,1,0.77,-0.15,5813
1,724.85,-7,-5.64,-68,797,1,0.79,-0.15,5792,1,0.71,-0.16,4564
1,826.95,-16,-5.99,-66,814,1,0.7,-0.11,20475,1,0.68,-0.11,21315
1,803.3,-16,-5.53,-74,734,1,0.83,-0.11,23840,1,0.64,-0.12,19181
1,723.77,-8,-6.62,-89,760,1,0.79,-0.08,27649,1,0.84,-0.08,28598
1,817.89,-8,-5.38,-64,656,1,0.67,-0.09,27662,1,0.66,-0.09,29906
1,703.1,-8,-5.5,-72,764,1,0.7,-0.07,61423,1,0.7,-0.07,57967
1,739.49,0,-4.7,-59,679,1,0.82,-0.07,61661,1,0.81,-0.07,55375
1,777.48,0,-4.66,-51,635,1,0.63,-0.06,23573,1,0.71,-0.05,26209
1,642.56,0,-3.67,-45,672,1,0.82,-0.05,24479,1,0.79,-0.05,28229
1,781.81,0,-3.23,-37,828,1,0.68,-0.03,13250,1,0.71,-0.03,15678
1,763.81,0,-2.61,-36,738,1,0.68,-0.04,16243,1,0.72,-0.04,15681
1,817.51,0,-3.11,-38,690,1,0.65,-0.03,42735,1,0.72,-0.03,46533
1,642.24,0,-3.29,-40,641,1,0.67,-0.03,57088,1,0.66,-0.03,42307
1,666.33,0,-3.85,-39,668,1,0.63,-0.02,35821,1,0.84,-0.02,34515
1,690.28,0,-3.34,-45,788,1,0.84,-0.02,33527,1,0.82,-0.02,35957
1,650.36,0,-3.66,-49,810,1,0.73,-0.02,62214,1,0.83,-0.02,71071
1,795.2,0,-4.32,-48,655,1,0.66,-0.02,60623,1,0.74,-0.02,56181
1,663.32,0,-4.16,-44,724,1,0.73,-0.01,36933,1,0.76,-0.01,29970
1,784.7,0,-3.57,-51,668,1,0.73,-0.01,36798,1,0.64,-0.01,32140
1,1168.14,-15,23.4,553,1000,1,1.22,-0.03,66183,1,1.26,-0.03,71684
1,1131.59,-30,25.0,570,1191,1,1.26,-0.03,62771,1,1.18,-0.03,60193
1,1260.92,-35,22.36,542,1300,1,1.37,-0.12,27005,1,1.19,-0.12,24856
1,1198.04,-37,22.78,491,1095,1,1.49,-0.1,29885,1,1.33,-0.12,25211
1,1241.06,-36,20.66,531,1025,1,1.16,-0.18,26722,1,1.31,-0.17,29554
1,1441.32,-58,20.08,476,1122,1,1.2,-0.19,33562,1,1.14,-0.18,33771
1,1412.06,-64,24.96,487,1319,1,1.12,-0.16,25854,1,1.09,-0.16,30666
1,1177.18,-61,23.64,499,1097,1,1.11,-0.2,31068,1,1.11,-0.17,31510
1,1106.47,-74,20.62,522,1103,1,1.14,-0.32,51816,1,1.14,-0.3,60100
1,1060.3,-74,21.17,432,1080,1,1.02,-0.34,60411,1,1.08,-0.31,52908
1,1395.42,-49,22.68,504,1200,1,1.07,-0.3,63899,1,1.12,-0.29,60268
1,1340.29,-61,24.78,422,1128,1,1.28,-0.31,62301,1,1.18,-0.3,51810
1,1252.49,-54,20.73,487,1045,1,1.19,-0.31,49588,1,1.31,-0.34,64564
1,1372.07,-27,25.08,434,989,1,1.17,-0.32,59256,1,1.22,-0.34,59547
1,1276.55,-21,25.92,463,1205,1,1.08,-0.32,63394,1,1.26,-0.26,60055
1,1025.11,-16,27.36,421,939,1,1.11,-0.31,56198,1,1.25,-0.28,49662
1,1000.68,-18,24.55,530,1196,1,1.24,-0.32,55922,1,1.17,-0.3,52751
1,995.36,8,24.22,486,1028,1,1.0,-0.3,63525,1,1.2,-0.26,63803
1,981.45,8,24.16,524,1112,1,1.1,-0.31,62545,1,1.0,-0.33,62297
1,1129.48,27,26.91,431,1169,1,1.08,-0.3,63495,1,1.3,-0.29,61404
1,1069.48,22,22.51,426,1155,1,1.05,-0.3,62803,1,1.05,-0.3,64693
1,1275.96,0,27.74,530,1170,1,1.3,-0.27,50482,1,1.05,-0.32,54071
1,1274.77,-16,22.55,504,880,1,0.96,-0.27,2791,1,0.99,-0.26,2857
1,1201.5,-15,26.58,442,902,1,1.04,-0.24,2739,1,1.14,-0.24,2852
1,983.45,-7,22.63,461,958,1,0.86,-0.19,6022,1,1.01,-0.23,6188
1,1078.6,-9,25.67,522,1023,1,0.91,-0.18,7589,1,1.03,-0.17,7787
1,1093.19,-14,23.42,483,1118,1,0.95,-0.13,40585,1,1.12,-0.12,44453
1,1090.1,-14,24.06,455,1039,1,0.96,-0.13,47144,1,1.04,-0.13,38743
1,1224.95,-9,28.03,485,902,1,1.03,-0.15,24205,1,1.12,-0.15,25824
1,1032.21,-8,21.66,500,1006,1,0.93,-0.15,23880,1,0.99,-0.14,31945
1,1106.01,-8,24.99,478,1018,1,0.9,-0.1,52728,1,0.96,-0.1,50311
1,969.57,-7,27.11,436,868,1,0.97,-0.1,48306,1,0.96,-0.09,51474
1,1242.4,-8,21.78,482,1128,1,0.9,-0.09,32428,1,0.9,-0.07,31411
1,1091.8,-7,24.35,467,911,1,0.85,-0.09,32977,1,0.89,-0.09,39427
1,997.57,-9,23.81,432,870,1,1.11,-0.06,55857,1,1.02,-0.06,51956
1,1098.27,-7,25.18,499,1004,1,0.98,-0.05,47946,1,1.01,-0.07,49054
1,1161.57,-8,27.74,462,843,1,1.02,-0.04,15645,1,0.97,-0.04,12581
1,1087.55,0,27.85,500,903,1,1.1,-0.04,15804,1,0.98,-0.04,14888
1,1084.14,0,27.84,501,945,1,0.87,-0.03,37770,1,1.08,-0.03,36991
1,919.9,0,26.79,496,1088,1,0.95,-0.03,33124,1,0.96,-0.03,33152
1,946.16,0,24.45,450,1037,1,1.06,-0.02,43845,1,1.11,-0.02,49521
1,1096.97,0,20.89,395,1086,1,1.01,-0.02,42383,1,0.85,-0.02,46508
1,914.91,0,22.66,397,1069,1,0.89,-0.02,30618,1,0.94,-0.02,29939
1,1051.7,0,27.34,451,1027,1,1.0,-0.02,27931,1,1.03,-0.02,23752
1,1048.29,0,25.91,493,886,1,1.01,-0.01,21382,1,0.94,-0.01,20387
1,912.93,0,22.74,399,839,1,0.9,-0.01,23411,1,0.98,-0.01,24073
1,948.33,0,26.34,407,987,1,1.01,-0.01,1125,1,1.04,-0.01,1034
1,1161.01,0,23.89,524,1058,1,1.0,-0.01,982,1,0.94,-0.01,1083
1,1429.05,-99,17.02,357,1096,1,1.16,-0.81,29219,1,1.16,-0.92,33882
1,1504.24,-74,16.72,380,1200,1,1.12,-0.79,31950,1,1.1,-0.97,32969
1,1239.92,-47,19.42,471,1079,1,0.96,-0.98,32111,1,1.06,-0.82,34879
1,1372.61,-62,17.2,357,1258,1,0.88,-0.8,34267,1,0.92,-0.76,30687
1,1414.98,-68,20.92,460,1188,1,1.01,-0.77,31462,1,1.07,-0.99,35324
1,1159.93,-71,16.73,461,1103,1,1.01,-0.95,28897,1,0.97,-0.92,30694
1,1356.45,-24,16.15,449,1357,1,0.97,-1.01,34713,1,1.09,-0.87,32643
1,1486.2,-25,20.44,448,1385,1,0.91,-0.84,27272,1,0.89,-0.96,27498
1,1191.21,9,17.99,370,1146,1,1.17,-0.86,27889,1,1.12,-0.77,30384
1,1306.27,-7,19.89,470,1395,1,0.91,-0.97,28455,1,0.9,-0.84,30893
1,1303.19,-7,16.29,367,1342,1,0.97,-0.84,29306,1,1.14,-0.93,33168
1,1266.82,-22,17.96,454,1203,1,1.09,-0.95,35633,1,1.02,-0.86,34864
1,1191.92,-21,17.42,348,1109,1,1.07,-0.94,32471,1,0.99,-0.99,28987
1,1089.26,-27,18.58,463,1151,1,1.09,-0.81,30881,1,0.9,-0.98,33828
1,1286.92,-23,18.97,376,1056,1,0.96,-0.24,15046,1,0.91,-0.24,13320
1,1420.29,-17,16.23,456,1256,1,0.97,-0.25,16558,1,1.14,-0.26,16373
1,1340.04,-7,16.82,426,1056,1,1.04,-0.2,6894,1,0.98,-0.21,8014
1,1398.14,-8,20.14,336,1322,1,1.1,-0.19,6570,1,1.09,-0.16,8619
1,1093.35,-7,19.42,374,1295,1,0.88,-0.13,12723,1,0.99,-0.13,15634
1,1264.25,-8,20.35,386,1021,1,1.12,-0.14,12391,1,0.87,-0.11,15436
1,1316.79,-8,16.47,428,1180,1,1.05,-0.08,57423,1,0.88,-0.09,57398
1,1369.82,-6,17.23,412,1079,1,0.98,-0.09,51198,1,0.85,-0.08,51121
1,1260.13,-8,17.45,424,1316,1,0.91,-0.05,1906,1,1.07,-0.05,2077
1,1064.18,-8,17.26,398,1043,1,0.91,-0.07,1911,1,0.87,-0.06,1816
1,1012.02,0,18.59,478,1085,1,0.97,-0.06,13213,1,0.88,-0.05,15053
1,1049.57,0,28.43,532,1026,1,0.93,-0.05,16730,1,1.05,-0.05,15925
1,1015.1,0,26.59,523,827,1,0.93,-0.03,50481,1,1.05,-0.03,53809
1,1131.24,0,30.27,559,867,1,1.0,-0.03,53593,1,1.1,-0.03,48231
1,1070.86,0,32.9,569,826,1,1.11,-0.03,24858,1,1.04,-0.03,23138
1,1024.51,0,34.27,567,832,1,1.09,-0.03,21100,1,1.05,-0.03,23540
1,1046.75,0,33.97,517,755,1,1.02,-0.02,21380,1,1.1,-0.02,18725
1,975.84,0,29.21,485,853,1,1.05,-0.02,18481,1,0.97,-0.02,21181
1,1302.6,-23,23.31,495,1131,1,1.52,-0.02,4394,1,1.59,-0.02,5111
1,1212.74,-52,21.93,516,1102,1,1.61,-0.02,4773,1,1.64,-0.02,4577
1,1475.26,-50,21.7,516,1200,1,1.34,-0.05,24191,1,1.49,-0.05,24050
1,1229.33,-33,20.21,530,1167,1,1.45,-0.05,20156,1,1.62,-0.05,20296
1,1511.08,-36,19.49,443,1199,1,1.49,-0.05,21070,1,1.49,-0.05,24334
1,1223.9,-41,23.4,413,1376,1,1.28,-0.05,18531,1,1.43,-0.05,22199
1,1430.31,-54,22.91,422,1389,1,1.68,-0.05,18736,1,1.68,-0.05,23220
1,1474.42,-57,21.86,409,1263,1,1.33,-0.05,19192,1,1.29,-0.05,20842
1,1293.41,-65,20.18,394,1355,1,1.52,-0.05,21137,1,1.44,-0.05,22809
1,1343.95,-65,19.96,506,1420,1,1.58,-0.05,20611,1,1.59,-0.05,19331
1,1388.98,-65,19.49,430,1201,1,1.68,-0.06,19604,1,1.44,-0.05,22524
1,1421.97,-63,19.69,396,1157,1,1.71,-0.04,21203,1,1.44,-0.05,24333
1,1194.08,-67,19.68,450,1137,1,1.48,-0.05,22332,1,1.59,-0.05,20279
